Date,Source,Signal Type,Ticker,Entity,Direction,Value (USD),Traded At,More Info
2026-03-24 09:57,congress,congress_sell,XOM,Shelley Moore Capito,SELL,1001.0,2025-06-18,
2026-03-24 09:57,congress,congress_sell,MSFT,Shelley Moore Capito,SELL,1001.0,2025-06-18,
2026-03-24 09:57,congress,congress_sell,WFC,Shelley Moore Capito,SELL,1001.0,2025-06-18,
2026-03-24 09:57,congress,congress_sell,C,Shelley Moore Capito,SELL,1001.0,2025-06-18,
2026-03-24 09:57,congress,congress_sell,UNH,Shelley Moore Capito,SELL,1001.0,2025-06-23,
2026-03-24 09:57,congress,congress_sell,LAZR,A. Mitchell Jr. McConnell,SELL,15001.0,2025-06-26,
2026-03-24 09:57,congress,congress_sell,CMG,John Hickenlooper,SELL,100001.0,2025-06-12,
2026-03-24 09:57,congress,congress_buy,AVGO,John Boozman,BUY,1001.0,2025-06-11,
2026-03-24 09:57,congress,congress_buy,TBLL,John Boozman,BUY,1001.0,2025-06-11,
2026-03-24 09:57,congress,congress_sell,MU,John Boozman,SELL,1001.0,2025-06-11,
2026-03-24 09:57,congress,congress_sell,UNH,John Boozman,SELL,1001.0,2025-06-11,
2026-03-24 09:57,congress,congress_buy,XONE,Lindsey Graham,BUY,15001.0,2025-06-30,
2026-03-24 09:57,congress,congress_buy,BSCV,Lindsey Graham,BUY,15001.0,2025-06-30,
2026-03-24 09:57,congress,congress_buy,AXP,Shelley Moore Capito,BUY,15001.0,2025-07-01,
2026-03-24 09:57,congress,congress_sell,CB,Shelley Moore Capito,SELL,1001.0,2025-07-17,
2026-03-24 09:57,congress,congress_sell,AAPL,Shelley Moore Capito,SELL,1001.0,2025-07-18,
2026-03-24 09:57,congress,congress_sell,AFL,Shelley Moore Capito,SELL,1001.0,2025-07-18,
2026-03-24 09:57,congress,congress_sell,AVGO,Shelley Moore Capito,SELL,1001.0,2025-07-18,
2026-03-24 09:57,congress,congress_sell,JPM,Shelley Moore Capito,SELL,1001.0,2025-07-18,
2026-03-24 09:57,congress,congress_sell,MSFT,Shelley Moore Capito,SELL,1001.0,2025-07-18,
2026-03-24 09:57,congress,congress_buy,META,Shelley Moore Capito,BUY,1001.0,2025-07-29,
2026-03-24 09:57,congress,congress_buy,GOOGL,Shelley Moore Capito,BUY,1001.0,2025-07-29,
2026-03-24 09:57,congress,congress_sell,PPG,Shelley Moore Capito,SELL,1001.0,2025-07-30,
2026-03-24 09:57,congress,congress_sell,CL,Shelley Moore Capito,SELL,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,PPG,Shelley Moore Capito,SELL,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,GD,Shelley Moore Capito,SELL,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,ADI,Sheldon Whitehouse,SELL,15001.0,2025-07-03,
2026-03-24 09:57,congress,congress_sell,NVDA,Sheldon Whitehouse,SELL,15001.0,2025-07-07,
2026-03-24 09:57,congress,congress_buy,GIGB,John Boozman,BUY,1001.0,2025-07-08,
2026-03-24 09:57,congress,congress_buy,WMT,John Boozman,BUY,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_buy,GE,John Boozman,BUY,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,MU,John Boozman,SELL,1001.0,2025-07-01,
2026-03-24 09:57,congress,congress_sell,HYG,John Boozman,SELL,1001.0,2025-07-08,
2026-03-24 09:57,congress,congress_sell,JPM,John Boozman,SELL,1001.0,2025-07-24,
2026-03-24 09:57,congress,congress_sell,GD,John Boozman,SELL,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,MDLZ,John Boozman,SELL,1001.0,2025-07-31,
2026-03-24 09:57,congress,congress_sell,UNH,Angus King,SELL,1001.0,2025-07-15,
2026-03-24 09:57,congress,congress_buy,ADSK,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,META,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,VRT,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,KEX,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,BX,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,AMAT,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,NVDA,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,ONON,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,PWR,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_sell,TMO,Angus King,SELL,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,ANET,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,LOW,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,MSFT,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,JPM,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,NFLX,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,PYPL,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,GOOGL,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,AMD,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,UBER,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,XOM,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,MRVL,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_buy,BAC,Angus King,BUY,1001.0,2025-07-21,
2026-03-24 09:57,congress,congress_sell,UNH,Markwayne Mullin,SELL,15001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,SHW,Shelley Moore Capito,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,PLD,Shelley Moore Capito,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,BLK,Shelley Moore Capito,SELL,1001.0,2025-08-04,
2026-03-24 09:57,congress,congress_sell,DHR,Sheldon Whitehouse,SELL,1001.0,2025-08-28,
2026-03-24 09:57,congress,congress_sell,LRCX,Sheldon Whitehouse,SELL,15001.0,2025-08-28,
2026-03-24 09:57,congress,congress_sell,KVUE,Sheldon Whitehouse,SELL,1001.0,2025-08-28,
2026-03-24 09:57,congress,congress_sell,UNH,Sheldon Whitehouse,SELL,15001.0,2025-08-28,
2026-03-24 09:57,congress,congress_buy,WFC,A. Mitchell Jr. McConnell,BUY,1001.0,2025-09-01,
2026-03-24 09:57,congress,congress_buy,TLH,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,SCHP,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,RNWGX,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,IWM,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,AGZ,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,MBB,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,IEF,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,JMBS,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,SHY,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,VNQI,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,IEI,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,TLT,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,CMBS,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,WWSYX,John Boozman,BUY,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_buy,RNWGX,John Boozman,BUY,15001.0,2025-08-07,
2026-03-24 09:57,congress,congress_buy,AMD,John Boozman,BUY,1001.0,2025-08-07,
2026-03-24 09:57,congress,congress_buy,LLY,John Boozman,BUY,1001.0,2025-08-11,
2026-03-24 09:57,congress,congress_buy,RNWGX,John Boozman,BUY,15001.0,2025-08-14,
2026-03-24 09:57,congress,congress_buy,NVDA,John Boozman,BUY,1001.0,2025-08-22,
2026-03-24 09:57,congress,congress_buy,LLY,John Boozman,BUY,1001.0,2025-08-22,
2026-03-24 09:57,congress,congress_sell,IVV,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,TBLL,John Boozman,SELL,15001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,URNM,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,GIGB,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,VEA,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,PPLT,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,PALL,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,SLV,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,EMLP,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,GEM,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,EMRZX,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,EFA,John Boozman,SELL,1001.0,2025-08-01,
2026-03-24 09:57,congress,congress_sell,EMRZX,John Boozman,SELL,15001.0,2025-08-07,
2026-03-24 09:57,congress,congress_sell,ABBV,John Boozman,SELL,1001.0,2025-08-11,
2026-03-24 09:57,congress,congress_sell,EMRZX,John Boozman,SELL,15001.0,2025-08-14,
2026-03-24 09:57,congress,congress_sell,MU,John Boozman,SELL,1001.0,2025-08-22,
2026-03-24 09:57,congress,congress_sell,ABBV,John Boozman,SELL,1001.0,2025-08-22,
2026-03-24 09:57,congress,congress_sell,AAPL,Adam B. Schiff,SELL,15001.0,2025-09-22,
2026-03-24 09:57,congress,congress_buy,ISRG,Markwayne Mullin,BUY,50001.0,2025-09-24,
2026-03-24 09:57,congress,congress_sell,ACN,Markwayne Mullin,SELL,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_sell,IHF,Markwayne Mullin,SELL,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_buy,NOW,Markwayne Mullin,BUY,1001.0,2025-09-24,
2026-03-24 09:57,congress,congress_sell,ADBE,Markwayne Mullin,SELL,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_sell,TXN,Markwayne Mullin,SELL,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_buy,UNH,Markwayne Mullin,BUY,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_buy,INTU,Markwayne Mullin,BUY,15001.0,2025-09-24,
2026-03-24 09:57,congress,congress_sell,WAB,Markwayne Mullin,SELL,15001.0,2025-09-23,
2026-03-24 09:57,congress,congress_sell,UNH,Sheldon Whitehouse,SELL,15001.0,2025-09-04,
2026-03-24 09:57,congress,congress_sell,HON,Sheldon Whitehouse,SELL,15001.0,2025-09-04,
